name;year
Allan Vanterpool;2021
Vijay Gadepally;2021
Michael Stonebraker;2021
Eduardo H. M. Pena;2021
Eduardo Cunha de Almeida;2021
Felix Naumann;2021
Brit Youngmann;2022
Sihem Amer-Yahia;2022
Aurélien Personnaz;2022
Yoshinori Matsunobu;2020
Siying Dong;2020
Herman Lee;2020
Dimitris Palyvos-Giannas;2020
Bastian Havers;2020
Marina Papatriantafilou;2020
Vincenzo Gulisano;2020
Xiaonan Nie;2023
Yi Liu;2023
Fangcheng Fu;2023
Jinbao Xue;2023
Dian Jiao;2023
Xupeng Miao;2023
Yangyu Tao;2023
Bin Cui 0001;2023
Lingxiao Li;2020
Muhammad Aamir Cheema;2020
Mohammed Eunus Ali;2020
Hua Lu 0001;2020
David Taniar;2020
Mohamed Y. Eltabakh;2021
Anantha Subramanian;2021
Awny Al-Omari;2021
Mohammed Al-Kateb;2021
Sanjay Nair;2021
Mahbub Hasan;2021
Wellington Cabrera;2021
Charles Zhang;2021
Amit Kishore;2021
Snigdha Prasad;2021
Viktor Leis;2021
Maximilian Kuschewski;2021
Zezhou Huang;2023
Rathijit Sen;2023
Jiaxiang Liu;2023
Eugene Wu 0002;2023
David Campos 0002;2021
Tung Kieu;2021
Chenjuan Guo;2021
Feiteng Huang;2021
Kai Zheng 0001;2021
Bin Yang 0002;2021
Christian S. Jensen;2021
Yasuhiro Fujiwara;2021
Sekitoshi Kanai;2021
Yasutoshi Ida;2021
Atsutoshi Kumagai;2021
Naonori Ueda;2021
Jiacheng Yang;2020
Ian Rae;2020
Jun Xu;2020
Jeff Shute;2020
Zhan Yuan;2020
Kelvin Lau;2020
Qiang Zeng;2020
Xi Zhao;2020
Jun Ma;2020
Ziyang Chen;2020
Yuan Gao;2020
Qilin Dong;2020
Junxiong Zhou;2020
Jeremy Wood;2020
Goetz Graefe;2020
Jeffrey F. Naughton;2020
John Cieslewicz;2020
Liang Zhao;2020
Qingcan Li;2020
Pei Wang;2020
Jiannan Wang;2020
Eugene Wu 0002;2020
Han Fu;2023
Chang Liu;2023
Bin Wu 0003;2023
Feifei Li 0001;2023
Jian Tan;2023
Jianling Sun;2023
Magdalena Balazinska;2020
Xiaofang Zhou 0001;2020
Hiroyuki Yamada;2022
Jun Nemoto;2022
Haralampos Gavriilidis;2023
Leonhard Rose;2023
Joel Ziegler;2023
Kaustubh Beedkar;2023
Jorge-Arnulfo Quiané-Ruiz;2023
Volker Markl;2023
James Thorne;2021
Majid Yazdani;2021
Marzieh Saeidi;2021
Fabrizio Silvestri;2021
Sebastian Riedel 0001;2021
Alon Y. Levy;2021
Xin Sun;2022
Xin Huang 0001;2022
Di Jin 0001;2022
Walter Cai;2021
Philip A. Bernstein;2021
Wentao Wu 0001;2021
Badrish Chandramouli;2021
Mahdi Ghorbani;2023
Amir Shaikhha;2023
Yifan Wang;2022
Haodi Ma;2022
Daisy Zhe Wang;2022
Qizhen Zhang 0001;2020
Yifan Cai;2020
Xinyi Chen;2020
Sebastian Angel;2020
Ang Chen 0001;2020
Vincent Liu 0001;2020
Boon Thau Loo;2020
Shengliang Lu;2020
Bingsheng He;2020
Yuchen Li 0001;2020
Hao Fu;2020
Yuncheng Wu;2023
Naili Xing;2023
Gang Chen 0001;2023
Tien Tuan Anh Dinh;2023
Zhaojing Luo;2023
Beng Chin Ooi;2023
Xiaokui Xiao;2023
Meihui Zhang 0001;2023
Phanwadee Sinthong;2021
Michael J. Carey 0001;2021
Teddy Lazebnik;2022
Amit Somech;2022
Abraham Itzhak Weinberg;2022
Tianhao Wang 0001;2020
Min Xu;2020
Bolin Ding;2020
Jingren Zhou;2020
Cheng Hong;2020
Zhicong Huang;2020
Ninghui Li;2020
Somesh Jha;2020
Kevin Wellenzohn;2020
Michael H. Böhlen;2020
Sven Helmer;2020
Jonathan Goldstein;2020
Ahmed S. Abdelhamid;2020
Mike Barnett 0001;2020
Sebastian Burckhardt;2020
Badrish Chandramouli;2020
Darren Gehring;2020
Niel Lebeck;2020
Christopher Meiklejohn;2020
Umar Farooq Minhas;2020
Ryan Newton;2020
Rahee Peshawaria;2020
Tal Zaccai;2020
Irene Zhang;2020
Georgia Koutrika;2023
Jun Yang 0001;2023
Ramon Antonio Rodriges Zalipynis;2022
Manasi Vartak;2021
Jian Gao;2023
Xin Cao 0001;2023
Xin Yao;2023
Gong Zhang;2023
Wei Wang 0030;2023
Philipp Marian Grulich;2021
Steffen Zeuch;2021
Volker Markl;2021
Ashraf Aboulnaga;2021
Mengbai Xiao;2021
An Qin 0001;2021
Yongwei Wu;2021
Xinjie Huang;2021
Xiaodong Zhang 0001;2021
Yingli Zhou;2023
Yixiang Fang;2023
Wensheng Luo;2023
Yunming Ye;2023
Daniel Deutch;2022
Amir Gilad;2022
Tova Milo;2022
Amit Mualem;2022
Amit Somech;2022
Yunyoung Choi;2023
Kunsoo Park;2023
Hyunjoon Kim;2023
Sainyam Galhotra;2022
Udayan Khurana;2022
Luan V. Tran;2020
Minyoung Mun;2020
Cyrus Shahabi;2020
John Paparrizos;2023
Kaize Wu;2023
Aaron J. Elmore;2023
Christos Faloutsos;2023
Michael J. Franklin;2023
Sebastian Burckhardt;2022
Badrish Chandramouli;2022
Chris Gillum;2022
David Justo;2022
Konstantinos Kallas;2022
Connor McMahon;2022
Christopher Meiklejohn;2022
Xiangfeng Zhu;2022
Rolando Garcia;2020
Eric Liu;2020
Vikram Sreekanti;2020
Bobby Yan;2020
Anusha Dandamudi;2020
Joseph Gonzalez 0001;2020
Joseph M. Hellerstein;2020
Koushik Sen;2020
Vincent Jacob;2021
Fei Song;2021
Arnaud Stiegler;2021
Bijan Rad;2021
Yanlei Diao;2021
Nesime Tatbul;2021
Ruiyuan Li;2023
Zheng Li;2023
Yi Wu;2023
Chao Chen;2023
Yu Zheng;2023
Takayuki Tanabe;2020
Takashi Hoshino 0002;2020
Hideyuki Kawashima;2020
Osamu Tatebe;2020
Ioannis K. Koumarelas;2020
Thorsten Papenbrock;2020
Felix Naumann;2020
Xuhao Chen 0001;2020
Roshan Dathathri;2020
Gurbinder Gill;2020
Keshav Pingali;2020
Jayashree Mohan;2021
Amar Phanishayee;2021
Ashish Raniwala;2021
Vijay Chidambaram;2021
Philipp Fent;2021
Thomas Neumann 0001;2021
Floris Geerts;2021
Xuan Luo;2022
Jian Pei;2022
Zicun Cong;2022
Cheng Xu 0004;2022
Christian Winter 0006;2020
Tobias Schmidt;2020
Thomas Neumann 0001;2020
Alfons Kemper;2020
Karima Echihabi;2021
Themis Palpanas;2021
Kostas Zoumpatianos;2021
Yong Wang;2022
Guoliang Li 0001;2022
Kaiyu Li;2022
Haitao Yuan 0002;2022
Geon Heo;2020
Yuji Roh;2020
Seonghyeon Hwang;2020
Dayun Lee;2020
Steven Whang 0001;2020
Yixiang Fang;2022
Wensheng Luo;2022
Chenhao Ma 0001;2022
Siyuan Xia;2022
Zhiru Zhu;2022
Chris Zhu;2022
Jinjin Zhao;2022
Kyle Chard;2022
Aaron J. Elmore;2022
Ian T. Foster;2022
Michael J. Franklin;2022
Sanjay Krishnan;2022
Raul Castro Fernandez;2022
Sajjad Rahnama;2020
Suyash Gupta;2020
Thamir Qadah;2020
Jelle Hellings;2020
Mohammad Sadoghi;2020
Zuozhi Wang;2023
Chen Li 0001;2023
Jees Augustine;2020
Suraj Shetiya;2020
Abolfazl Asudeh;2020
Saravanan Thirumuruganathan;2020
Azade Nazi;2020
Nan Zhang 0004;2020
Gautam Das 0001;2020
Divesh Srivastava;2020
Tobias Schmidt;2021
Maximilian Bandle;2021
Jana Giceva;2021
Ioana Manolescu;2023
Madhulika Mohanty;2023
Andy Huynh;2022
Harshal A. Chaudhari;2022
Evimaria Terzi;2022
Manos Athanassoulis;2022
Xibo Sun;2022
Shixuan Sun;2022
Qiong Luo 0001;2022
Bingsheng He;2022
Rentong Guo;2022
Xiaofan Luan;2022
Long Xiang;2022
Xiao Yan 0002;2022
Xiaomeng Yi;2022
Jigao Luo;2022
Qianya Cheng;2022
Weizhi Xu 0003;2022
Jiarui Luo;2022
Frank Liu 0007;2022
Zhenshan Cao;2022
Yanliang Qiao;2022
Ting Wang;2022
Bo Tang 0016;2022
Charles Xie;2022
Enrique Saurez;2020
Bharath Balasubramanian;2020
Richard D. Schlichting;2020
Brendan Tschaen;2020
Shankaranarayanan Puzhavakath Narayanan;2020
Zhe Huang 0001;2020
Umakishore Ramachandran;2020
Zhuoyue Zhao;2022
Dong Xie 0001;2022
Feifei Li 0001;2022
Yuhao Zhang;2021
Frank Mcquillan;2021
Nandish Jayaram;2021
Nikhil Kak;2021
Ekta Khanna;2021
Orhan Kislal;2021
Domino Valdano;2021
Arun Kumar 0001;2021
Suyash Gupta;2020
Sajjad Rahnama;2020
Jelle Hellings;2020
Mohammad Sadoghi;2020
Jianhong Tu;2022
Xiaoyue Han;2022
Ju Fan;2022
Nan Tang 0001;2022
Chengliang Chai;2022
Guoliang Li 0001;2022
Xiaoyong Du 0001;2022
Ran Rui;2020
Hao Li 0071;2020
Yi-Cheng Tu;2020
Shubhangi Agarwal 0001;2020
Sourav Dutta 0001;2020
Arnab Bhattacharya 0001;2020
Alexander Zhou;2021
Yue Wang 0012;2021
Lei Chen 0002;2021
Muhammad Adnan;2021
Yassaman Ebrahimzadeh Maboud;2021
Divya Mahajan 0001;2021
Prashant J. Nair;2021
Renchi Yang;2020
Jieming Shi;2020
Xiaokui Xiao;2020
Yin Yang 0001;2020
Sourav S. Bhowmick;2020
Andrea Rossi 0002;2022
Donatella Firmani;2022
Paolo Merialdo;2022
Tommaso Teofili;2022
George Konstantinidis 0001;2021
Jet Holt;2021
Adriane Chapman;2021
Teng Zhang;2022
Jian Tan;2022
Xin Cai;2022
Jianying Wang;2022
Feifei Li 0001;2022
Jianling Sun;2022
Mohit Saxena;2023
Benjamin Sowell;2023
Daiyan Alamgir;2023
Nitin Bahadur;2023
Bijay Bisht;2023
Santosh Chandrachood;2023
Chitti Keswani;2023
G2 Krishnamoorthy;2023
Austin Lee;2023
Bohou Li;2023
Zach Mitchell;2023
Vaibhav Porwal;2023
Maheedhar Reddy Chappidi;2023
Brian Ross;2023
Noritaka Sekiyama;2023
Omer Zaki;2023
Linchi Zhang;2023
Mehul A. Shah;2023
Ryan Marcus;2020
Andreas Kipf;2020
Alexander van Renen;2020
Mihail Stoian;2020
Sanchit Misra;2020
Alfons Kemper;2020
Thomas Neumann 0001;2020
Tim Kraska;2020
Aarati Kakaraparthy;2022
Jignesh M. Patel;2022
Brian Kroth;2022
Kwanghyun Park 0001;2022
Suraj Shetiya;2020
Saravanan Thirumuruganathan;2020
Nick Koudas;2020
Gautam Das 0001;2020
Philipp Fent;2023
Guido Moerkotte;2023
Thomas Neumann 0001;2023
C. Mohan 0001;2022
Xun Jian 0001;2020
Yue Wang 0012;2020
Lei Chen 0002;2020
Junwen Yang;2021
Yeye He;2021
Surajit Chaudhuri;2021
Georgia Koutrika;2023
Jun Yang 0001;2023
Hongkuan Zhou;2022
Da Zheng;2022
Israt Nisa;2022
Vassilis N. Ioannidis;2022
Xiang Song;2022
George Karypis;2022
Peter Bailis;2020
Magda Balazinska;2020
Xin Luna Dong;2020
Juliana Freire;2020
Raghu Ramakrishnan;2020
Michael Stonebraker;2020
Joseph M. Hellerstein;2020
Piyush Yadav;2021
Dhaval Salwala;2021
Felipe Arruda Pontes;2021
Praneet Dhingra;2021
Edward Curry;2021
Jinyang Li;2023
Alon Silberstein;2023
Yuval Moskovitch;2023
Julia Stoyanovich;2023
H. V. Jagadish;2023
Wentao Zhang;2021
Zhi Yang 0001;2021
Yexin Wang;2021
Yu Shen;2021
Yang Li 0106;2021
Liang Wang;2021
Bin Cui 0001;2021
Shaoduo Gan;2021
Xiangru Lian;2021
Rui Wang;2021
Jianbin Chang;2021
Chengjun Liu;2021
Hongmei Shi;2021
Shengzhuo Zhang;2021
Xianghong Li;2021
Tengxu Sun;2021
Jiawei Jiang;2021
Binhang Yuan;2021
Sen Yang 0004;2021
Ji Liu 0002;2021
Ce Zhang 0001;2021
Robin Rehrmann;2020
Carsten Binnig;2020
Alexander Böhm 0002;2020
Kihong Kim;2020
Wolfgang Lehner;2020
Jiayi Wang 0002;2021
Chengliang Chai;2021
Jiabin Liu;2021
Guoliang Li 0001;2021
Alvin Cheung;2023
Maaz Bin Safeer Ahmad;2023
Brandon Haynes;2023
Chanwut Kittivorawong;2023
Shadaj Laddad;2023
Xiaoxuan Liu;2023
Chenglong Wang;2023
Cong Yan;2023
Uwe Röhm;2020
Lexi Brent;2020
Tim Dawborn;2020
Bryn Jeffries;2020
David Pujol;2022
Albert Sun;2022
Brandon Fain;2022
Ashwin Machanavajjhala;2022
Moin Hussain Moti;2022
Panagiotis Simatis;2022
Dimitris Papadias;2022
Haoteng Yin;2023
Muhan Zhang;2023
Jianguo Wang 0001;2023
Pan Li 0005;2023
Yuyu Luo;2020
Chengliang Chai;2020
Xuedi Qin;2020
Nan Tang 0001;2020
Guoliang Li 0001;2020
Ippokratis Pandis;2021
Bo-Hyun Lee;2023
Mijin An;2023
Sang-Won Lee 0001;2023
Zhicheng Pan;2023
Yihang Wang;2023
Yingying Zhang;2023
Sean Bin Yang;2023
Yunyao Cheng 0001;2023
Peng Chen;2023
Chenjuan Guo;2023
Qingsong Wen;2023
Xiduo Tian;2023
Yunliang Dou;2023
Zhiqiang Zhou;2023
Chengcheng Yang;2023
Aoying Zhou;2023
Bin Yang 0002;2023
Pavan Edara;2021
Mosha Pasumansky;2021
Youmin Chen;2020
Youyou Lu;2020
Kedong Fang;2020
Qing Wang 0031;2020
Jiwu Shu;2020
Yin Lin;2022
Brit Youngmann;2022
Yuval Moskovitch;2022
H. V. Jagadish;2022
Tova Milo;2022
Pedro Pedreira;2022
Orri Erling;2022
Maria Basmanova;2022
Kevin Wilfong;2022
Laith S. Sakka;2022
Krishna Pai;2022
Wei He;2022
Biswapesh Chattopadhyay;2022
Kajetan Jeremi Maliszewski;2021
Jorge-Arnulfo Quiané-Ruiz;2021
Jonas Traub;2021
Volker Markl;2021
Wentao Ning;2020
Qiandong Tang;2020
Yi Zhao;2020
Chuan Yang;2020
Xiaofeng Wang;2020
Teng Wang;2020
Haotian Liu;2020
Chaozu Zhang;2020
Zhiyuan Zhou;2020
Qiaomu Shen;2020
Bo Tang 0016;2020
Wei Tian;2023
Jieming Shi;2023
Siqiang Luo;2023
Hui Li 0057;2023
Xike Xie;2023
Yuanhang Zou;2023
Dimitris Palyvos-Giannas;2022
Katerina Tzompanaki;2022
Marina Papatriantafilou;2022
Vincenzo Gulisano;2022
Dimitrije Jankov;2021
Binhang Yuan;2021
Shangyu Luo;2021
Chris Jermaine;2021
Joseph Howie;2023
Venkatesh Srinivasan 0001;2023
Alex Thomo;2023
Simon Razniewski;2021
Hiba Arnaout;2021
Shrestha Ghosh;2021
Fabian M. Suchanek;2021
Kejing Lu;2022
Yoshiharu Ishikawa;2022
Chuan Xiao 0001;2022
Gyuyeong Kim;2022
Wonjun Lee 0001;2022
Andrey Mishchenko;2022
Dominique Danco;2022
Abhilash Jindal;2022
Adrian Blue;2022
Nikolaos Tziavelis;2020
Deepak Ajwani;2020
Wolfgang Gatterbauer;2020
Mirek Riedewald;2020
Xiaofeng Yang;2020
Zhuo Ma;2023
Yilong Yang 0004;2023
Bin Xiao;2023
Yang Liu;2023
Xinjing Liu;2023
Zhuoran Ma;2023
Tong Yang 0003;2023
Dong He 0002;2022
Supun Chathuranga Nakandala;2022
Dalitso Banda;2022
Rathijit Sen;2022
Karla Saur;2022
Kwanghyun Park 0001;2022
Carlo Curino;2022
Jesús Camacho-Rodríguez;2022
Konstantinos Karanasos;2022
Matteo Interlandi;2022
Xuanle Ren;2022
Le Su;2022
Zhen Gu;2022
Sheng Wang 0011;2022
Feifei Li 0001;2022
Yuan Xie 0001;2022
Song Bian 0001;2022
Chao Li;2022
Fan Zhang;2022
Kevin P. Gaffney;2021
Robert K. Claus;2021
Jignesh M. Patel;2021
Leonidas Fegaras;2020
Md Hasanuzzaman Noor;2020
Shreya Shankar;2022
Aditya G. Parameswaran;2022
Yushi Liu;2023
Liwei Yuan;2023
Zhihao Chen 0003;2023
Yekai Yu;2023
Zhao Zhang 0002;2023
Cheqing Jin;2023
Ying Yan 0002;2023
Magdalena Balazinska;2020
Xiaofang Zhou 0001;2020
Xuchen Pan;2022
Yongxin Tong;2022
Chunbo Xue;2022
Zimu Zhou;2022
Junping Du;2022
Yuxiang Zeng;2022
Yexuan Shi;2022
Xiaofei Zhang 0002;2022
Lei Chen 0002;2022
Yi Xu;2022
Ke Xu 0001;2022
Weifeng Lv;2022
Hongbo Kang;2022
Yiwei Zhao;2022
Guy E. Blelloch;2022
Laxman Dhulipala;2022
Yan Gu 0001;2022
Charles McGuffey;2022
Phillip B. Gibbons;2022
Ralf Diestelkämper;2021
Seokki Lee;2021
Boris Glavic;2021
Melanie Herschel;2021
André Kohn 0001;2022
Dominik Moritz;2022
Mark Raasveldt;2022
Hannes Mühleisen;2022
Thomas Neumann 0001;2022
Wentao Huang;2023
Yunhong Ji;2023
Xuan Zhou 0001;2023
Bingsheng He;2023
Kian-Lee Tan;2023
Andreas Kipf;2020
Damian Chromejko;2020
Alexander Hall;2020
Peter A. Boncz;2020
David G. Andersen;2020
Konstantinos Kanellis;2022
Cong Ding 0002;2022
Brian Kroth;2022
Andreas Müller 0024;2022
Carlo Curino;2022
Shivaram Venkataraman;2022
Tianxun Hu;2022
Tianzheng Wang 0001;2022
Qingqing Zhou;2022
Miti Mazmudar;2022
Thomas Humphries;2022
Jiaxiang Liu;2022
Matthew Rafuse;2022
Xi He 0001;2022
Devin Petersohn;2020
William W. Ma;2020
Doris Jung Lin Lee;2020
Stephen Macke;2020
Doris Xin;2020
Xiangxi Mo;2020
Joseph Gonzalez 0001;2020
Joseph M. Hellerstein;2020
Anthony D. Joseph;2020
Aditya G. Parameswaran;2020
Pingchuan Ma 0004;2021
Shuai Wang 0011;2021
Yue Zhao 0016;2022
George H. Chen;2022
Zhihao Jia;2022
Fangcheng Fu;2022
Xupeng Miao;2022
Jiawei Jiang;2022
Huanran Xue;2022
Bin Cui 0001;2022
Gunduz Vehbi Demirci;2022
Aparajita Haldar;2022
Hakan Ferhatosmanoglu;2022
Chenyuan Wu;2023
Bhavana Mehta;2023
Mohammad Javad Amiri;2023
Ryan Marcus;2023
Boon Thau Loo;2023
Abolfazl Asudeh;2020
H. V. Jagadish;2020
You Wu 0001;2020
Cong Yu 0001;2020